code;title;direction;stage;stage_label;role;action;product;methodology;kpi
1.1;Планирование;Производство;1;1 этап;"Отдел продаж, коммерции";Формирование плана продаж на год в 1С;Утвержденный план продаж на год;Долгосрочные договоры Аналика рынка Прогнозный спрос;
1.1;Планирование;Производство;2;2 этап;Инженер по планированию и ПП;Формирование плана производства на год в 1С;Утвержденный план производства на год;План продаж Фонд рабочего времени Складской остаток ГП Минимальный остаток ГП;
1.1;Планирование;Производство;3;3 этап;Разработчик R&D;Разработка/Утверждение рецепта в 1С;Утвержденный рецепт в 1С;ОЛИ ОПИ ОПП;
1.1;Планирование;Производство;4;4 этап;Инженер по планированию и ПП;Заявка на сырье по утвержденной рецептуре;"Заявка на сырье, по утвержденной рецептуре.";"Заявки формируются исходя и складских остатков, учитывая минимальный неснижаемый остаток сырья, плечо поставки";
1.1;Планирование;Производство;5;5 этап;Отдел снабжения;Закуп доставка сырья;"Закуп, доставка сырья согласно заявкам";Заявка производства Требования к сырью Сроки поставок;
1.1;Планирование;Производство;6;6 этап;"Отдел продаж, коммерции";Уточнение плана продаж на 1 месяц в 1С;"Уточненный план продаж на месяц, до 20 чсила каждого месяца";Пул заказов Долгосрочные договоры;
1.1;Планирование;Производство;7;7 этап;Инженер по планированию и ПП;Уточнение плана производства на 1 месяц в 1С;Уточненный план производства на мессяц исходя из уточненного плана продаж;Фонд рабочего времени Фонд рабочего времени Складской остаток ГП Минимальный остаток ГП;
1.1;Планирование;Производство;8;8 этап;Начальник производства;Составление сменно-суточного задания;Сформированное сменно-суточное задание в 1С;Заполняется утверджденная форма;
1.1;Планирование;Производство;9;9 этап;Разработчик R&D;Разработка утверждение маршрутной карты;Утвержденные маршрутные карты;Технология производства;
1.1;Планирование;Производство;10;10 этап;Мастер Производство;"получение ССЗ, Подготовка маршрутных карт для производства";Маршрутная карта;Заполняется утвержденная форма;
1.1;Планирование;Производство;11;11 этап;Инженер по планированию и ПП;Формирование заказа переработчику в 1С;Создание заказа переработчика в 1С;форма в 1С Рецепт продукта;
1.1;Планирование;Производство;12;12 этап;Мастер Производство;Заказ на буфер производства сырья и тары;Заказ на перемещение в буфер производства.;форма в 1С Рецепт продукта;
1.1;Планирование;Производство;13;13 этап;Склад кладовщик;Сборка и передача сырья и тары согласно заказа в буфер производства;Сборка и передача сырья и по накладной ТОРГ 13;форма в 1С;
1.1;Планирование;Производство;14;14 этап;Мастер Производство;"Прием сырья и тары,производство, контроль ОТК, Слив ГП, списание ТМЦ, передача ГП на склад ГП";Заполненная оператором ДПУ маршрутная карта в соответствии с выполненными операциями;форма маршрутной карты технология производства;
1.1;Планирование;Производство;15;15 этап;Начальник производства;План-факт анализ выполнения ССЗ;Анализ план-факт ССЗ;План-фактный анализ;
1.1;Планирование;Производство;16;16 этап;Инженер по планированию и ПП;План-факт анализ ежемесячного плана производства;Анализ план-факт плана производства;План-фактный анализ;
1.2;Исполнение;Производство;1;1 этап;Инженер по планированию и ПП;"Формирование плана производства на сутки, неделю и месяц в 1С с учетом внеплановых заявок";Утвержденный план производства на месяц в 1С;на основании плана продаж учитывается складской остаток ГП минимальный остаток;
1.2;Исполнение;Производство;2;2 этап;Начальник производства;Формирование сменно- суточного задания в 1С;Сформированное сменно-суточное задание в 1С;Инструкция по заполнени формы в 1С Нормы расхода сырья;
1.2;Исполнение;Производство;3;3 этап;Инженер по планированию и ПП;Формирование заказа переработчика на сырьё и тару в 1С;Сформированные маршрутные карты на производство в 1С Сформированый заказ переработчика на сырьё и тару в 1С;Инструкция по заполнени формы в 1С Нормы расхода сырья;
1.2;Исполнение;Производство;3;3 этап;Технолог;Формирование маршрутных карт на производство в 1С в соответствии со сменно-суточным заданием на каждую партию продукта;Сформированные маршрутные карты на производство в 1С Сформированый заказ переработчика на сырьё и тару в 1С;Инструкция по заполнени формы в 1С Нормы расхода сырья;
1.2;Исполнение;Производство;4;4 этап;Мастер ПУ;Передача мастеру ПУ сменно-суточного задания и маршрутных карт на производство в бумажном и электронном виде;Переданные мастеру ПУ в бумажном виде сменно-суточное задание и маршрутные карты на производство;Рабочий стандарт;
1.2;Исполнение;Производство;5;5 этап;Кладовщик;Выдача сырья прошедшего входной контроль (тары);"Стандарт ""Приемка и учет сырья, материалов на складе. Хранение и выдача сырья, материалов на производство"" Стандарт ""Входной контроль""";Рабочий стандарт;
1.2;Исполнение;Производство;5;5 этап;Лаборант ЛКК;Проведение анализов поступившего сырья (производится при получении партии сырья);"Стандарт ""Приемка и учет сырья, материалов на складе. Хранение и выдача сырья, материалов на производство"" Стандарт ""Входной контроль""";Рабочий стандарт;
1.2;Исполнение;Производство;5;5 этап;Контролер ОКК;Входной контороль поступившего сырья (производится при получении партии сырья);"Стандарт ""Приемка и учет сырья, материалов на складе. Хранение и выдача сырья, материалов на производство"" Стандарт ""Входной контроль""";Рабочий стандарт;
1.2;Исполнение;Производство;6;6 этап;Кладовщик-комплектовщик;"Подготовка и выдача сырья и тары в производство с соблюдением ""ФИФО""";Подготовленное для передачи в производство сырьё и тара;Рабочий стандарт Инструкция по заполнени формы в 1С Нормы расхода сырья;
1.2;Исполнение;Производство;7;7 этап;Начальник производства;Проверка оборудования на соответствие требованиям ОТ;Подписанная накладная М-15 кладовщиком и мастером ПУ;Рабочий стандарт Инструкция по заполнени формы м-15 в 1С Нормы расхода сырья;
1.2;Исполнение;Производство;7;7 этап;Технолог;Сверка партии и массы;Подписанная накладная М-15 кладовщиком и мастером ПУ;Рабочий стандарт Инструкция по заполнени формы м-15 в 1С Нормы расхода сырья;
1.2;Исполнение;Производство;7;7 этап;Мастер ПУ;Получение сырья для производства по накладной М-15;Подписанная накладная М-15 кладовщиком и мастером ПУ;Рабочий стандарт Инструкция по заполнени формы м-15 в 1С Нормы расхода сырья;
